INSERT INTO tiket "id_tiket","id_transaksi","id_jadwal","nomor_kursi","harga_film" VALUES
1,1,8,"A01","35000.00"
2,2,15,"A02","35000.00"
3,3,22,"A03","35000.00"
4,4,29,"A04","35000.00"
5,5,36,"A05","35000.00"
6,6,43,"A06","35000.00"
7,7,50,"A07","50000.00"
8,8,57,"A08","50000.00"
9,9,64,"A09","50000.00"
10,10,71,"A10","75000.00"
11,11,78,"A11","35000.00"
12,12,85,"A12","35000.00"
13,13,92,"A13","35000.00"
14,14,99,"A14","35000.00"
15,15,106,"A15","35000.00"
16,16,113,"A16","35000.00"
17,17,120,"A17","50000.00"
18,18,127,"A18","50000.00"
19,19,134,"A19","50000.00"
20,20,141,"A20","75000.00"
21,21,148,"B01","35000.00"
22,22,155,"B02","35000.00"
23,23,162,"B03","35000.00"
24,24,169,"B04","35000.00"
25,25,176,"B05","35000.00"
26,26,183,"B06","35000.00"
27,27,190,"B07","50000.00"
28,28,197,"B08","50000.00"
29,29,204,"B09","50000.00"
30,30,211,"B10","75000.00"
31,31,218,"B11","35000.00"
32,32,225,"B12","35000.00"
33,33,232,"B13","35000.00"
34,34,239,"B14","35000.00"
35,35,246,"B15","35000.00"
36,36,253,"B16","35000.00"
37,37,260,"B17","50000.00"
38,38,267,"B18","50000.00"
39,39,274,"B19","50000.00"
40,40,281,"B20","75000.00"
41,41,288,"C01","35000.00"
42,42,295,"C02","35000.00"
43,43,302,"C03","35000.00"
44,44,309,"C04","35000.00"
45,45,316,"C05","35000.00"
46,46,323,"C06","35000.00"
47,47,330,"C07","50000.00"
48,48,337,"C08","50000.00"
49,49,344,"C09","50000.00"
50,50,351,"C10","75000.00"
51,51,358,"C11","35000.00"
52,52,365,"C12","35000.00"
53,53,372,"C13","35000.00"
54,54,379,"C14","35000.00"
55,55,386,"C15","35000.00"
56,56,393,"C16","35000.00"
57,57,400,"C17","50000.00"
58,58,407,"C18","50000.00"
59,59,414,"C19","50000.00"
60,60,421,"C20","75000.00"
61,61,428,"D01","35000.00"
62,62,435,"D02","35000.00"
63,63,442,"D03","35000.00"
64,64,449,"D04","35000.00"
65,65,456,"D05","35000.00"
66,66,463,"D06","35000.00"
67,67,470,"D07","50000.00"
68,68,477,"D08","50000.00"
69,69,484,"D09","50000.00"
70,70,491,"D10","75000.00"
71,71,498,"D11","35000.00"
72,72,505,"D12","35000.00"
73,73,512,"D13","35000.00"
74,74,519,"D14","35000.00"
75,75,526,"D15","35000.00"
76,76,533,"D16","35000.00"
77,77,540,"D17","50000.00"
78,78,547,"D18","50000.00"
79,79,554,"D19","50000.00"
80,80,561,"D20","75000.00"
81,81,568,"E01","35000.00"
82,82,575,"E02","35000.00"
83,83,582,"E03","35000.00"
84,84,589,"E04","35000.00"
85,85,596,"E05","35000.00"
86,86,603,"E06","35000.00"
87,87,610,"E07","50000.00"
88,88,617,"E08","50000.00"
89,89,624,"E09","50000.00"
90,90,631,"E10","75000.00"
91,91,638,"E11","35000.00"
92,92,645,"E12","35000.00"
93,93,652,"E13","35000.00"
94,94,659,"E14","35000.00"
95,95,666,"E15","35000.00"
96,96,673,"E16","35000.00"
97,97,680,"E17","50000.00"
98,98,687,"E18","50000.00"
99,99,694,"E19","50000.00"
100,100,701,"E20","75000.00"
